n,a(n)
798,143
799,0
800,7
801,142
802,0
803,3
804,64
805,64
806,1
807,11
808,80
809,305
810,0
811,8
812,129
813,0
814,3
815,11
816,8
817,5
818,50
819,221
820,0
821,7
822,21
823,316
824,0
825,4
826,43
827,260
828,0
829,4
830,4
831,1
832,25
833,43
834,7
835,13
836,156
837,439
838,0
839,10
840,122
841,0
842,3
843,28
844,235
845,0
846,4
847,16
848,154
849,0
850,4
851,4
852,1
853,21
854,31
855,130
856,0
857,7
858,23
859,271
860,0
861,4
862,10
863,23
864,5
865,47
866,569
867,0
868,7
869,11
870,54
871,396
872,0
873,5
874,9
875,106
876,0
877,4
878,16
879,31
880,25
881,48
882,179
883,355
884,0
885,8
886,69
887,438
888,0
889,4
890,12
891,94
892,641
893,0
894,5
895,21
896,42
897,527
898,0
899,5
900,5
901,1
902,49
903,233
904,528
905,0
906,7
907,38
908,645
909,0
910,4
911,21
912,16
913,34
914,129
915,102
916,563
917,0
918,8
919,33
920,165
921,0
922,4
923,12
924,33
925,5
926,25
927,46
928,600
929,0
930,8
931,12
932,8
933,2
934,211
935,0
936,6
937,142
938,136
939,178
940,0
941,5
942,16
943,30
944,265
945,0
946,5
947,5
948,1
949,47
950,84
951,347
952,0
953,7
954,47
955,5
956,8
957,24
958,398
959,0
960,7
961,7
962,1
963,14
964,175
965,0
966,6
967,30
968,24
969,11
970,100
971,262
972,601
973,0
974,8
975,18
976,490
977,0
978,4
979,56
980,705
981,0
982,4
983,4
984,1
985,22
986,226
987,0
988,6
989,22
990,4
991,7
992,30
993,25
994,67
995,225
996,488
997,0
998,10
999,136
1000,61
